sector,district,current_employment,projected_employment_2yr,growth_rate_percent,key_roles_in_demand,skills_gap_percent,avg_salary_offered,training_alignment_score,employer_satisfaction_score,hiring_intent_next_quarter,technology_adoption_level,automation_risk,green_jobs_potential,last_survey_date
IT & Software Services,Mumbai,11778,13357,13.41,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,43.21,118924,77.53,40.35,Low,Emerging,Low,High,2026-06-16
IT & Software Services,Pune,15049,18463,22.69,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,52.19,125389,71.43,48.43,Low,Moderate,Medium,Medium,2026-08-15
IT & Software Services,Nagpur,39204,47135,20.23,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,29.67,36958,48.61,80.64,High,Moderate,Medium,High,2026-08-31
IT & Software Services,Thane,23837,29749,24.8,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,35.78,66443,55.09,54.26,High,Emerging,High,Medium,2026-08-11
IT & Software Services,Nashik,39108,46025,17.69,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,32.11,95088,34.01,81.68,Low,Basic,Low,Medium,2026-04-03
IT & Software Services,Aurangabad,49965,57312,14.71,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,46.77,69743,45.78,80.05,No Change,Emerging,High,Medium,2026-07-06
IT & Software Services,Solapur,18357,21045,14.65,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,26.54,146756,45.89,53.41,Medium,Moderate,Low,High,2026-03-12
IT & Software Services,Amravati,36377,41371,13.73,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,36.9,96277,49.35,60.71,No Change,Moderate,Medium,Low,2026-04-17
IT & Software Services,Kolhapur,19528,22259,13.99,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,21.01,97030,64.22,83.43,High,Moderate,Medium,High,2026-07-10
IT & Software Services,Sangli,12907,15977,23.79,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,30.7,95375,66.99,67.31,Low,Moderate,Medium,Medium,2026-06-02
IT & Software Services,Jalgaon,34229,40401,18.03,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,26.79,110162,50.72,47.43,Medium,Moderate,Medium,Low,2026-04-18
IT & Software Services,Akola,28686,33029,15.14,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,53.05,106568,75.74,54.67,Low,Advanced,Low,High,2026-04-13
IT & Software Services,Latur,44937,51645,14.93,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,43.47,149181,66.35,63.03,Medium,Emerging,High,High,2026-05-09
IT & Software Services,Dhule,32946,40576,23.16,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,23.45,72110,46.51,75.09,High,Emerging,High,Low,2026-03-15
IT & Software Services,Ahmednagar,3753,4567,21.69,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,31.03,45932,36.86,87.81,No Change,Emerging,Medium,High,2026-08-30
IT & Software Services,Chandrapur,3494,3954,13.17,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,26.26,43544,58.07,81.57,High,Moderate,High,Low,2026-09-02
IT & Software Services,Parbhani,1595,1944,21.9,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,48.11,100235,64.99,51.18,Low,Emerging,High,High,2026-05-25
IT & Software Services,Jalna,42697,48926,14.59,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,24.55,92876,71.53,63.01,Low,Advanced,High,High,2026-04-09
IT & Software Services,Bhiwandi,43661,51313,17.53,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,37.21,127255,55.81,79.13,Low,Emerging,Medium,High,2026-03-17
IT & Software Services,Nanded,28254,33259,17.71,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,24.83,45215,64.82,52.78,No Change,Moderate,Medium,High,2026-07-02
