center_id,center_name,district,course_category,course_name,center_type,total_capacity,current_enrollment,has_computer_lab,has_workshop,equipment_age_years,total_trainers,certified_trainers,batches_completed,students_placed,placement_rate_percent,duration_months,fee_amount,certification,industry_partners,months_since_curriculum_update,contact_email,contact_phone
TC_0001,Skill Development Center - Washim 10,Washim,Automotive,Denting,Private Training Provider,176,170,Yes,No,1,15,13,16,132,77.65,9,2722,No Certification,10,60,center1@skilldev.maharashtra.gov.in,+91-9572881443
TC_0002,Skill Development Center - Akola 10,Akola,IT & Software,Cybersecurity,NGO,110,64,Yes,Yes,3,14,4,13,8,12.5,3,357,State Government,1,40,center2@skilldev.maharashtra.gov.in,+91-9358952365
TC_0003,Skill Development Center - Sangli 7,Sangli,Banking & Finance,GST & Taxation,Industry Training Center,123,68,No,No,6,13,12,6,9,13.24,12,48174,Industry Certified,0,24,center3@skilldev.maharashtra.gov.in,+91-9327632341
TC_0004,Skill Development Center - Raigad 9,Raigad,Beauty & Wellness,Fitness Training,NSDC Partner,178,164,Yes,No,10,6,4,10,46,28.05,1,1864,State Government,8,37,center4@skilldev.maharashtra.gov.in,+91-9789874162
TC_0005,Skill Development Center - Sangli 4,Sangli,Electronics,PCB Design,Industry Training Center,271,105,No,Yes,9,5,5,17,7,6.67,1,16116,No Certification,2,43,center5@skilldev.maharashtra.gov.in,+91-9292643928
TC_0006,Skill Development Center - Jalgaon 10,Jalgaon,Food Processing,Food Safety,Industry Training Center,205,168,No,No,7,10,6,8,119,70.83,3,7150,State Government,2,1,center6@skilldev.maharashtra.gov.in,+91-9520525044
TC_0007,Skill Development Center - Kolhapur 10,Kolhapur,Healthcare,Nursing Assistant,NGO,212,75,No,No,0,4,2,5,17,22.67,6,42724,NSDC,3,11,center7@skilldev.maharashtra.gov.in,+91-9688148505
TC_0008,Skill Development Center - Aurangabad 8,Aurangabad,Electronics,Consumer Electronics Repair,NGO,274,86,Yes,No,9,2,2,9,18,20.93,9,15125,Industry Certified,5,24,center8@skilldev.maharashtra.gov.in,+91-9042208298
TC_0009,Skill Development Center - Washim 1,Washim,Automotive,Four Wheeler Mechanic,Government ITI,226,202,Yes,Yes,9,6,6,19,31,15.35,2,2589,No Certification,1,1,center9@skilldev.maharashtra.gov.in,+91-9549511003
TC_0010,Skill Development Center - Osmanabad 1,Osmanabad,Tourism & Hospitality,Housekeeping,NSDC Partner,81,61,Yes,No,8,2,2,9,6,9.84,3,7149,NSDC,8,9,center10@skilldev.maharashtra.gov.in,+91-9195057156
TC_0011,Skill Development Center - Jalgaon 4,Jalgaon,Food Processing,Food Safety,Private Training Provider,240,219,No,Yes,2,2,1,8,45,20.55,2,48461,State Government,1,14,center11@skilldev.maharashtra.gov.in,+91-9611054069
TC_0012,Skill Development Center - Kolhapur 2,Kolhapur,Tourism & Hospitality,Food & Beverage Service,NSDC Partner,97,92,Yes,No,1,4,2,4,34,36.96,9,5558,No Certification,1,4,center12@skilldev.maharashtra.gov.in,+91-9741339159
TC_0013,Skill Development Center - Aurangabad 3,Aurangabad,Tourism & Hospitality,Tour Guide,Government ITI,50,36,No,No,5,15,14,18,2,5.56,3,42792,State Government,10,21,center13@skilldev.maharashtra.gov.in,+91-9902656650
TC_0014,Skill Development Center - Amravati 10,Amravati,Food Processing,Food Safety,NGO,169,127,Yes,No,13,5,1,4,76,59.84,12,48974,NSDC,1,23,center14@skilldev.maharashtra.gov.in,+91-9296737264
TC_0015,Skill Development Center - Dhule 8,Dhule,Retail,Inventory Management,Government ITI,70,63,No,Yes,0,6,6,18,33,52.38,2,1794,No Certification,4,43,center15@skilldev.maharashtra.gov.in,+91-9373594005
TC_0016,Skill Development Center - Raigad 1,Raigad,Logistics,Warehouse Management,NGO,190,105,Yes,No,6,8,6,5,82,78.1,12,43798,State Government,9,30,center16@skilldev.maharashtra.gov.in,+91-9140459207
TC_0017,Skill Development Center - Osmanabad 6,Osmanabad,Logistics,Warehouse Management,Industry Training Center,139,93,No,Yes,13,9,2,5,59,63.44,9,20362,Industry Certified,0,7,center17@skilldev.maharashtra.gov.in,+91-9245114417
TC_0018,Skill Development Center - Pune 8,Pune,Agriculture,Food Processing,Private Training Provider,132,64,Yes,Yes,9,14,11,19,29,45.31,1,30026,State Government,0,26,center18@skilldev.maharashtra.gov.in,+91-9597158550
TC_0019,Skill Development Center - Wardha 7,Wardha,Telecommunications,Field Service,Government ITI,197,105,Yes,Yes,4,10,6,10,5,4.76,3,916,State Government,6,49,center19@skilldev.maharashtra.gov.in,+91-9099133658
TC_0020,Skill Development Center - Wardha 5,Wardha,Banking & Finance,Insurance,NSDC Partner,225,82,Yes,No,13,13,11,5,21,25.61,3,35435,Industry Certified,8,8,center20@skilldev.maharashtra.gov.in,+91-9668844954
TC_0021,Skill Development Center - Pune 5,Pune,Media,Video Editing,NSDC Partner,262,243,Yes,No,2,6,4,2,87,35.8,12,48650,No Certification,4,40,center21@skilldev.maharashtra.gov.in,+91-9833045724
TC_0022,Skill Development Center - Gondia 3,Gondia,Retail,Inventory Management,NGO,81,34,No,Yes,10,15,4,8,8,23.53,3,14766,State Government,8,20,center22@skilldev.maharashtra.gov.in,+91-9878483526
TC_0023,Skill Development Center - Dhule 3,Dhule,IT & Software,Digital Marketing,Industry Training Center,203,176,Yes,Yes,3,2,1,2,128,72.73,3,45061,State Government,0,42,center23@skilldev.maharashtra.gov.in,+91-9390011283
TC_0024,Skill Development Center - Ratnagiri 10,Ratnagiri,Textile,Fabric Design,NGO,52,27,No,No,1,7,5,12,13,48.15,3,48118,Industry Certified,1,38,center24@skilldev.maharashtra.gov.in,+91-9875502630
TC_0025,Skill Development Center - Bhandara 10,Bhandara,Textile,Textile Processing,NSDC Partner,291,95,No,No,9,15,14,19,17,17.89,12,1146,Industry Certified,4,21,center25@skilldev.maharashtra.gov.in,+91-9392196277
TC_0026,Skill Development Center - Jalna 9,Jalna,Healthcare,Pharmacy Assistant,Private Training Provider,68,26,No,No,9,6,2,6,16,61.54,2,9217,Industry Certified,10,33,center26@skilldev.maharashtra.gov.in,+91-9955815231
TC_0027,Skill Development Center - Gondia 8,Gondia,Food Processing,Packaging Technology,NGO,261,183,Yes,Yes,8,11,6,11,5,2.73,9,19934,No Certification,8,42,center27@skilldev.maharashtra.gov.in,+91-9723676821
TC_0028,Skill Development Center - Raigad 7,Raigad,Food Processing,Food Safety,Private Training Provider,189,99,Yes,Yes,10,13,10,6,44,44.44,1,10757,NSDC,1,56,center28@skilldev.maharashtra.gov.in,+91-9977008043
TC_0029,Skill Development Center - Hingoli 3,Hingoli,Food Processing,Processing Operations,Private Training Provider,76,27,No,No,11,15,15,12,12,44.44,2,41216,No Certification,3,1,center29@skilldev.maharashtra.gov.in,+91-9051929070
TC_0030,Skill Development Center - Bhiwandi 6,Bhiwandi,Automotive,Four Wheeler Mechanic,NGO,268,90,Yes,No,12,15,5,1,58,64.44,12,41259,Industry Certified,5,46,center30@skilldev.maharashtra.gov.in,+91-9433068720
TC_0031,Skill Development Center - Bhiwandi 7,Bhiwandi,Healthcare,Nursing Assistant,Industry Training Center,103,73,Yes,Yes,12,14,3,12,48,65.75,6,29964,Industry Certified,1,43,center31@skilldev.maharashtra.gov.in,+91-9422011027
TC_0032,Skill Development Center - Amravati 7,Amravati,Media,Content Creation,Industry Training Center,242,152,No,No,9,2,2,7,31,20.39,6,23433,Industry Certified,8,26,center32@skilldev.maharashtra.gov.in,+91-9123009028
TC_0033,Skill Development Center - Washim 1,Washim,Retail,Retail Management,Industry Training Center,196,162,No,No,7,11,3,9,104,64.2,2,14850,Industry Certified,4,13,center33@skilldev.maharashtra.gov.in,+91-9454294959
TC_0034,Skill Development Center - Akola 6,Akola,Tourism & Hospitality,Hotel Management,Industry Training Center,97,96,Yes,No,9,9,8,10,8,8.33,6,48291,State Government,3,45,center34@skilldev.maharashtra.gov.in,+91-9265527753
TC_0035,Skill Development Center - Sindhudurg 1,Sindhudurg,Manufacturing,CNC Operation,Industry Training Center,292,224,No,No,12,14,11,2,94,41.96,2,18530,Industry Certified,0,14,center35@skilldev.maharashtra.gov.in,+91-9352433140
TC_0036,Skill Development Center - Solapur 5,Solapur,Media,Content Creation,NGO,234,208,Yes,No,3,10,5,13,77,37.02,9,32375,No Certification,0,34,center36@skilldev.maharashtra.gov.in,+91-9717792167
TC_0037,Skill Development Center - Osmanabad 5,Osmanabad,Beauty & Wellness,Spa Therapy,Industry Training Center,254,82,Yes,No,6,12,3,10,16,19.51,9,28248,No Certification,2,10,center37@skilldev.maharashtra.gov.in,+91-9536145965
TC_0038,Skill Development Center - Solapur 8,Solapur,Logistics,Warehouse Management,Private Training Provider,154,95,No,No,13,9,4,20,7,7.37,6,44581,NSDC,7,58,center38@skilldev.maharashtra.gov.in,+91-9170468124
TC_0039,Skill Development Center - Gadchiroli 4,Gadchiroli,Telecommunications,Fiber Optics,Industry Training Center,145,134,No,No,2,6,4,14,52,38.81,3,45408,No Certification,10,8,center39@skilldev.maharashtra.gov.in,+91-9447400502
TC_0040,Skill Development Center - Parbhani 3,Parbhani,IT & Software,Data Analytics,Industry Training Center,78,68,Yes,Yes,8,15,15,19,45,66.18,3,22239,No Certification,2,18,center40@skilldev.maharashtra.gov.in,+91-9739946208
TC_0041,Skill Development Center - Parbhani 7,Parbhani,Healthcare,Patient Care,NSDC Partner,187,103,No,Yes,9,14,9,3,3,2.91,9,39023,Industry Certified,10,31,center41@skilldev.maharashtra.gov.in,+91-9550648240
TC_0042,Skill Development Center - Nashik 9,Nashik,Electronics,Consumer Electronics Repair,Government ITI,175,53,Yes,Yes,3,7,4,14,30,56.6,1,22294,State Government,3,42,center42@skilldev.maharashtra.gov.in,+91-9896513341
TC_0043,Skill Development Center - Nagpur 10,Nagpur,Tourism & Hospitality,Hotel Management,NGO,101,99,No,Yes,12,11,7,6,39,39.39,9,35881,Industry Certified,6,48,center43@skilldev.maharashtra.gov.in,+91-9614181850
TC_0044,Skill Development Center - Aurangabad 4,Aurangabad,Healthcare,Medical Lab Technology,Government ITI,291,225,No,No,12,5,5,1,66,29.33,1,19434,Industry Certified,1,60,center44@skilldev.maharashtra.gov.in,+91-9417341464
TC_0045,Skill Development Center - Nashik 2,Nashik,Banking & Finance,Financial Services,Private Training Provider,254,76,No,Yes,10,6,5,12,12,15.79,9,27483,NSDC,10,52,center45@skilldev.maharashtra.gov.in,+91-9807612725
TC_0046,Skill Development Center - Mumbai 1,Mumbai,Food Processing,Cold Chain Management,NGO,193,58,No,No,8,15,11,19,33,56.9,12,46633,No Certification,5,34,center46@skilldev.maharashtra.gov.in,+91-9760654780
TC_0047,Skill Development Center - Parbhani 5,Parbhani,Manufacturing,Welding Technology,NGO,112,97,No,Yes,6,10,10,20,18,18.56,6,37229,State Government,5,43,center47@skilldev.maharashtra.gov.in,+91-9302019509
TC_0048,Skill Development Center - Parbhani 9,Parbhani,Textile,Fabric Design,NGO,55,37,No,Yes,1,3,3,20,10,27.03,2,25939,NSDC,4,45,center48@skilldev.maharashtra.gov.in,+91-9378563848
TC_0049,Skill Development Center - Washim 6,Washim,Construction,Plumbing,Industry Training Center,158,76,No,Yes,1,7,1,5,33,43.42,1,26949,State Government,7,40,center49@skilldev.maharashtra.gov.in,+91-9628550894
TC_0050,Skill Development Center - Wardha 8,Wardha,Electronics,Mobile Repair,Private Training Provider,100,55,No,No,7,8,6,15,2,3.64,12,47764,NSDC,1,22,center50@skilldev.maharashtra.gov.in,+91-9726562608
TC_0051,Skill Development Center - Nagpur 4,Nagpur,Electronics,PCB Design,Government ITI,267,189,Yes,Yes,6,13,6,13,47,24.87,1,15638,Industry Certified,3,16,center51@skilldev.maharashtra.gov.in,+91-9396894110
TC_0052,Skill Development Center - Washim 1,Washim,Healthcare,Pharmacy Assistant,NSDC Partner,174,91,Yes,Yes,7,12,9,14,0,0.0,6,33044,State Government,8,40,center52@skilldev.maharashtra.gov.in,+91-9484080669
TC_0053,Skill Development Center - Kolhapur 3,Kolhapur,Beauty & Wellness,Hair Styling,NSDC Partner,144,94,No,No,7,3,3,2,60,63.83,6,41892,NSDC,7,2,center53@skilldev.maharashtra.gov.in,+91-9016120595
TC_0054,Skill Development Center - Raigad 10,Raigad,Manufacturing,Quality Control,Industry Training Center,169,89,No,Yes,10,14,10,8,35,39.33,3,42941,No Certification,1,27,center54@skilldev.maharashtra.gov.in,+91-9752710694
TC_0055,Skill Development Center - Amravati 4,Amravati,Agriculture,Agriculture Equipment,Private Training Provider,149,46,No,Yes,0,14,12,3,15,32.61,12,10723,State Government,1,12,center55@skilldev.maharashtra.gov.in,+91-9203942323
TC_0056,Skill Development Center - Pune 8,Pune,Electronics,Embedded Systems,Private Training Provider,159,111,No,No,7,2,1,14,76,68.47,1,12958,Industry Certified,0,14,center56@skilldev.maharashtra.gov.in,+91-9777988335
TC_0057,Skill Development Center - Jalna 7,Jalna,Logistics,Warehouse Management,Private Training Provider,179,145,No,Yes,8,4,3,18,42,28.97,1,41188,NSDC,10,28,center57@skilldev.maharashtra.gov.in,+91-9564146082
TC_0058,Skill Development Center - Ahmednagar 2,Ahmednagar,Construction,Masonry,NSDC Partner,252,138,No,No,11,10,8,8,24,17.39,12,44654,Industry Certified,6,25,center58@skilldev.maharashtra.gov.in,+91-9993693777
TC_0059,Skill Development Center - Bhandara 9,Bhandara,Media,Social Media Management,Private Training Provider,207,115,Yes,Yes,15,5,4,1,30,26.09,9,29686,No Certification,4,55,center59@skilldev.maharashtra.gov.in,+91-9464419263
TC_0060,Skill Development Center - Jalna 6,Jalna,Electronics,IoT Basics,Government ITI,184,97,No,No,0,6,3,11,44,45.36,3,10733,State Government,5,41,center60@skilldev.maharashtra.gov.in,+91-9549621482
TC_0061,Skill Development Center - Bhandara 2,Bhandara,Textile,Textile Processing,Government ITI,198,127,Yes,Yes,11,14,5,15,75,59.06,12,47702,Industry Certified,8,38,center61@skilldev.maharashtra.gov.in,+91-9548733258
TC_0062,Skill Development Center - Ahmednagar 9,Ahmednagar,IT & Software,Full Stack Development,Industry Training Center,260,90,Yes,No,11,14,12,8,29,32.22,12,46081,Industry Certified,6,29,center62@skilldev.maharashtra.gov.in,+91-9818860982
TC_0063,Skill Development Center - Wardha 5,Wardha,IT & Software,Full Stack Development,Private Training Provider,172,56,Yes,No,10,6,6,17,40,71.43,9,19648,State Government,10,49,center63@skilldev.maharashtra.gov.in,+91-9232154925
TC_0064,Skill Development Center - Hingoli 6,Hingoli,IT & Software,AI/ML Basics,Private Training Provider,288,191,Yes,No,14,14,11,3,99,51.83,6,32951,NSDC,4,50,center64@skilldev.maharashtra.gov.in,+91-9874781225
TC_0065,Skill Development Center - Washim 5,Washim,Manufacturing,Fitter Training,NSDC Partner,139,57,Yes,No,5,6,5,4,18,31.58,9,436,No Certification,4,21,center65@skilldev.maharashtra.gov.in,+91-9613979394
TC_0066,Skill Development Center - Akola 10,Akola,Retail,Cashier Operations,Private Training Provider,75,71,Yes,No,15,8,7,20,46,64.79,3,24898,NSDC,8,60,center66@skilldev.maharashtra.gov.in,+91-9300214577
TC_0067,Skill Development Center - Aurangabad 8,Aurangabad,Banking & Finance,GST & Taxation,Government ITI,116,47,No,No,9,14,11,4,1,2.13,3,26290,No Certification,3,57,center67@skilldev.maharashtra.gov.in,+91-9139265895
TC_0068,Skill Development Center - Sindhudurg 7,Sindhudurg,Construction,Plumbing,Private Training Provider,288,94,Yes,No,15,10,7,11,29,30.85,3,31493,No Certification,6,26,center68@skilldev.maharashtra.gov.in,+91-9494169532
TC_0069,Skill Development Center - Dhule 4,Dhule,Media,Video Editing,Private Training Provider,271,105,Yes,Yes,8,7,5,14,10,9.52,3,18004,No Certification,9,37,center69@skilldev.maharashtra.gov.in,+91-9544583105
TC_0070,Skill Development Center - Nanded 9,Nanded,Textile,Garment Making,NSDC Partner,66,57,No,Yes,5,9,7,5,34,59.65,9,41375,NSDC,8,10,center70@skilldev.maharashtra.gov.in,+91-9983478645
TC_0071,Skill Development Center - Ahmednagar 1,Ahmednagar,Telecommunications,Tower Technician,NSDC Partner,201,167,Yes,Yes,6,5,5,17,5,2.99,3,29209,State Government,2,60,center71@skilldev.maharashtra.gov.in,+91-9526923639
TC_0072,Skill Development Center - Akola 4,Akola,Logistics,Forklift Operation,Industry Training Center,286,165,Yes,Yes,13,4,3,19,99,60.0,12,40261,No Certification,1,33,center72@skilldev.maharashtra.gov.in,+91-9395475257
