skill_name,district,posting_count,avg_salary,in_taxonomy,current_demand_score,growth_rate_percent,obsolescence_risk,demand_trend,district_growth_rate,district_skills_gap,static_emerging_bonus,trends_bonus,emerging_bonus,obsolescence_penalty,predicted_score_6m,confidence_6m,predicted_score_12m,confidence_12m,predicted_score_24m,confidence_24m,demand_band_6m,demand_band_12m,demand_band_24m
AWS,Ahmednagar,7,151373.42857142858,True,14.0,26.5675,High,Rapidly Growing,8.46,36.595,8.0,0.0,8.0,-15.0,26.7,64,35.5,64,53.0,64,Low,Medium,Medium
AWS,Akola,5,144408.0,True,8.5,26.5675,High,Rapidly Growing,9.0,33.019,8.0,0.0,8.0,-15.0,20.3,60,29.2,60,47.0,60,Low,Low,Medium
AWS,Amravati,9,158613.88888888888,True,25.8,26.5675,High,Rapidly Growing,8.8925,37.6035,8.0,0.0,8.0,-15.0,38.9,68,47.8,68,65.5,68,Medium,Medium,High
AWS,Aurangabad,8,187561.625,True,17.9,26.5675,High,Rapidly Growing,7.6,38.486000000000004,8.0,0.0,8.0,-15.0,31.0,66,39.5,66,56.6,66,Low,Medium,Medium
AWS,Beed,11,132714.27272727274,True,28.6,26.5675,High,Rapidly Growing,9.5965,42.417,8.0,0.0,8.0,-15.0,43.4,72,52.4,72,70.5,72,Medium,Medium,High
AWS,Bhiwandi,6,129777.5,True,13.9,26.5675,High,Rapidly Growing,8.895,40.1755,8.0,0.0,8.0,-15.0,27.8,62,36.7,62,54.4,62,Low,Medium,Medium
AWS,Chandrapur,7,151851.85714285713,True,14.3,26.5675,High,Rapidly Growing,8.7865,35.588,8.0,0.0,8.0,-15.0,26.8,64,35.7,64,53.3,64,Low,Medium,Medium
AWS,Dhule,6,147324.83333333334,True,15.2,26.5675,High,Rapidly Growing,10.1625,39.802,8.0,0.0,8.0,-15.0,29.3,62,38.5,62,56.9,62,Low,Medium,Medium
AWS,Jalgaon,8,85285.625,True,18.4,26.5675,High,Rapidly Growing,8.879999999999999,37.665,8.0,0.0,8.0,-15.0,31.6,66,40.4,66,58.1,66,Low,Medium,Medium
AWS,Jalna,6,86901.33333333333,True,10.9,26.5675,High,Rapidly Growing,8.616499999999998,33.054500000000004,8.0,0.0,8.0,-15.0,22.6,62,31.4,62,49.0,62,Low,Low,Medium
AWS,Kolhapur,6,62672.833333333336,True,12.5,26.5675,High,Rapidly Growing,9.7,40.227999999999994,8.0,0.0,8.0,-15.0,26.6,62,35.7,62,53.8,62,Low,Medium,Medium
AWS,Latur,4,263650.75,True,7.7,26.5675,High,Rapidly Growing,9.7515,39.448,8.0,0.0,8.0,-15.0,21.6,58,30.7,58,48.9,58,Low,Low,Medium
AWS,Mumbai,9,172780.33333333334,True,25.9,26.5675,High,Rapidly Growing,9.267,35.709500000000006,8.0,0.0,8.0,-15.0,38.6,68,47.5,68,65.4,68,Medium,Medium,High
AWS,Nagpur,8,157405.375,True,15.2,26.5675,High,Rapidly Growing,9.1105,38.835,8.0,0.0,8.0,-15.0,28.8,66,37.7,66,55.5,66,Low,Medium,Medium
AWS,Nanded,3,188357.66666666666,True,4.4,26.5675,High,Rapidly Growing,8.637,35.605000000000004,8.0,0.0,8.0,-15.0,16.9,56,25.7,56,43.3,56,Low,Low,Medium
AWS,Nashik,11,74955.72727272728,True,26.3,26.5675,High,Rapidly Growing,8.586,37.875,8.0,0.0,8.0,-15.0,39.5,72,48.2,72,65.8,72,Medium,Medium,High
AWS,Osmanabad,9,131051.33333333333,True,19.0,26.5675,High,Rapidly Growing,8.059999999999999,37.4765,8.0,0.0,8.0,-15.0,31.9,68,40.6,68,57.9,68,Low,Medium,Medium
AWS,Parbhani,9,158001.66666666666,True,16.3,26.5675,High,Rapidly Growing,9.2835,38.364,8.0,0.0,8.0,-15.0,29.8,68,38.7,68,56.7,68,Low,Medium,Medium
AWS,Pune,6,97594.83333333333,True,13.9,26.5675,High,Rapidly Growing,8.681999999999999,40.851,8.0,0.0,8.0,-15.0,28.0,62,36.8,62,54.4,62,Low,Medium,Medium
AWS,Raigad,11,116614.54545454546,True,28.6,26.5675,High,Rapidly Growing,9.9115,39.47,8.0,0.0,8.0,-15.0,42.6,72,51.7,72,69.9,72,Medium,Medium,High
AWS,Sangli,4,107710.0,True,9.4,26.5675,High,Rapidly Growing,9.5185,37.182,8.0,0.0,8.0,-15.0,22.6,58,31.6,58,49.6,58,Low,Low,Medium
AWS,Satara,3,141915.0,True,5.0,26.5675,High,Rapidly Growing,9.8795,40.648,8.0,0.0,8.0,-15.0,19.3,56,28.4,56,46.6,56,Low,Low,Medium
AWS,Solapur,12,126781.58333333333,True,26.2,26.5675,High,Rapidly Growing,9.0745,41.6085,8.0,0.0,8.0,-15.0,40.6,74,49.5,74,67.3,74,Medium,Medium,High
AWS,Yavatmal,7,124385.57142857143,True,14.3,26.5675,High,Rapidly Growing,9.310500000000001,37.6325,8.0,0.0,8.0,-15.0,27.6,64,36.5,64,54.5,64,Low,Medium,Medium
Accounting,Ahmednagar,2,117811.0,False,2.3,0.0,,,8.46,36.595,0.0,0.0,0.0,0.0,15.4,46,17.5,46,21.7,46,Low,Low,Low
Accounting,Akola,6,92855.5,False,10.6,0.0,,,9.0,33.019,0.0,0.0,0.0,0.0,22.8,54,25.0,54,29.5,54,Low,Low,Low
Accounting,Amravati,6,195596.5,False,16.1,0.0,,,8.8925,37.6035,0.0,0.0,0.0,0.0,29.6,54,31.8,54,36.3,54,Low,Low,Medium
Accounting,Aurangabad,8,61024.75,False,17.9,0.0,,,7.6,38.486000000000004,0.0,0.0,0.0,0.0,31.3,58,33.2,58,37.0,58,Low,Low,Medium
Accounting,Beed,4,117846.5,False,8.6,0.0,,,9.5965,42.417,0.0,0.0,0.0,0.0,23.7,50,26.1,50,30.9,50,Low,Low,Low
Accounting,Bhiwandi,1,239431.0,False,0.0,0.0,,,8.895,40.1755,0.0,0.0,0.0,0.0,14.3,44,16.5,44,20.9,44,Low,Low,Low
Accounting,Chandrapur,11,106144.54545454546,False,23.8,0.0,,,8.7865,35.588,0.0,0.0,0.0,0.0,36.7,64,38.9,64,43.3,64,Medium,Medium,Medium
Accounting,Dhule,5,186447.4,False,12.1,0.0,,,10.1625,39.802,0.0,0.0,0.0,0.0,26.6,52,29.1,52,34.2,52,Low,Low,Low
Accounting,Jalgaon,5,181518.8,False,10.5,0.0,,,8.879999999999999,37.665,0.0,0.0,0.0,0.0,24.0,52,26.2,52,30.7,52,Low,Low,Low
Accounting,Jalna,3,89411.66666666667,False,4.3,0.0,,,8.616499999999998,33.054500000000004,0.0,0.0,0.0,0.0,16.4,48,18.5,48,22.8,48,Low,Low,Low
Accounting,Kolhapur,2,114896.5,False,2.5,0.0,,,9.7,40.227999999999994,0.0,0.0,0.0,0.0,17.0,46,19.4,46,24.3,46,Low,Low,Low
Accounting,Latur,4,225317.25,False,7.7,0.0,,,9.7515,39.448,0.0,0.0,0.0,0.0,22.0,50,24.4,50,29.3,50,Low,Low,Low
Accounting,Mumbai,5,37881.2,False,11.1,0.0,,,9.267,35.709500000000006,0.0,0.0,0.0,0.0,24.1,52,26.4,52,31.1,52,Low,Low,Low
