skill_name,district,total_capacity,available_seats,total_trainers,avg_placement_rate,course_count
AWS,Jalgaon,268,47,8,23.53,1
AWS,Kolhapur,196,127,5,44.93,1
AWS,Osmanabad,133,37,4,3.12,1
AWS Basics,Ahmednagar,260,170,14,32.22,1
AWS Basics,Gondia,148,90,15,25.86,1
AWS Basics,Nanded,134,84,11,80.0,1
AWS Basics,Nashik,293,2,7,68.73,1
AWS Basics,Parbhani,234,88,11,16.44,1
AWS Basics,Wardha,172,116,6,71.43,1
Active Listening,Akola,60,8,2,73.08,1
Active Listening,Bhiwandi,153,19,10,38.81,1
Active Listening,Latur,70,30,10,52.5,1
Active Listening,Osmanabad,140,24,7,19.83,1
Active Listening,Ratnagiri,174,89,3,45.88,1
Active Listening,Solapur,167,64,15,39.285,1
Advanced Materials,Aurangabad,199,25,7,10.34,1
Advanced Materials,Beed,149,46,8,77.67,1
Advanced Materials,Bhandara,207,115,13,65.22,1
Advanced Materials,Bhiwandi,243,156,6,28.74,1
Advanced Materials,Nashik,272,170,9,51.96,1
Advanced Materials,Parbhani,112,15,10,18.56,1
Advanced Materials,Pune,71,24,14,42.55,1
Advanced Materials,Sangli,151,61,14,73.33,1
Arc Welding,Aurangabad,199,25,7,10.34,1
Arc Welding,Beed,149,46,8,77.67,1
Arc Welding,Bhandara,207,115,13,65.22,1
Arc Welding,Bhiwandi,243,156,6,28.74,1
Arc Welding,Nashik,272,170,9,51.96,1
Arc Welding,Parbhani,112,15,10,18.56,1
Arc Welding,Pune,71,24,14,42.55,1
Arc Welding,Sangli,151,61,14,73.33,1
Automation Basics,Gondia,54,3,6,49.02,1
Automation Basics,Jalna,107,57,5,62.0,1
Automation Basics,Mumbai,230,144,12,76.74,1
Automation Basics,Ratnagiri,64,16,4,66.67,1
Automation Basics,Satara,173,105,10,13.24,1
Automation Basics,Sindhudurg,389,123,23,36.455,1
Automation Systems,Gadchiroli,289,156,12,63.16,1
Automation Systems,Gondia,94,57,13,32.43,1
Automation Systems,Jalna,179,34,4,28.97,1
Automation Systems,Osmanabad,139,46,9,63.44,1
Automation Systems,Raigad,190,85,8,78.1,1
Automation Systems,Sangli,286,112,12,72.41,1
Automation Systems,Solapur,154,59,9,7.37,1
Automation Systems,Washim,277,62,9,67.91,1
Automation in Labs,Aurangabad,291,66,5,29.33,1
Automation in Labs,Jalgaon,256,108,10,27.03,1
Automation in Labs,Satara,67,47,9,60.0,1
Automation in Labs,Thane,65,16,8,61.22,1
Automation in Processing,Ahmednagar,92,41,5,72.55,1
Automation in Processing,Osmanabad,223,143,12,67.5,1
Automation in Processing,Parbhani,254,142,12,37.5,1
Automation in Processing,Pune,132,68,14,45.31,1
Automation in Processing,Wardha,190,93,8,23.71,1
