skill_name,district,gap_status,priority,estimated_demand_headcount,available_seats,additional_seats,additional_trainers,additional_labs,curriculum_status,confidence_12m,demand_band_12m
Communication,Akola,Critical Shortage,High,220.0,8.0,212.0,4,1,Add to existing course,77,Very High
Communication,Osmanabad,Critical Shortage,High,198.0,24.0,174.0,3,1,Add to existing course,77,Very High
Communication,Latur,Critical Shortage,High,187.0,30.0,157.0,3,1,Add to existing course,77,Very High
Communication,Bhiwandi,Critical Shortage,High,172.0,19.0,153.0,3,1,Add to existing course,77,Very High
SQL,Parbhani,Critical Shortage,High,161.0,10.0,151.0,3,1,Add to existing course,85,High
Communication,Solapur,Critical Shortage,High,201.0,64.0,137.0,2,1,Add to existing course,77,Very High
Python,Parbhani,Critical Shortage,High,127.0,10.0,117.0,2,1,Add to existing course,78,Medium
Tableau,Parbhani,Critical Shortage,High,122.0,10.0,112.0,2,1,Add to existing course,52,Low
Safety Standards,Aurangabad,Critical Shortage,High,133.0,25.0,108.0,2,1,Add to existing course,77,High
Excel,Parbhani,Critical Shortage,High,117.0,10.0,107.0,2,1,Add to existing course,77,Medium
SQL,Pune,Critical Shortage,High,146.0,46.0,100.0,2,1,Add to existing course,85,Very High
Safety Standards,Pune,Critical Shortage,High,117.0,24.0,93.0,2,1,Add to existing course,77,High
Safety Standards,Parbhani,Critical Shortage,High,106.0,15.0,91.0,2,1,Add to existing course,77,Medium
Safety Standards,Jalna,Critical Shortage,High,123.0,34.0,89.0,1,1,Add to existing course,77,Medium
Power BI,Parbhani,Critical Shortage,High,93.0,10.0,83.0,1,1,Add to existing course,64,Medium
Safety Standards,Solapur,Critical Shortage,High,142.0,59.0,83.0,1,1,Add to existing course,77,High
Troubleshooting,Beed,Critical Shortage,High,94.0,12.0,82.0,1,1,Add to existing course,76,Medium
Blueprint Reading,Aurangabad,Critical Shortage,High,106.0,25.0,81.0,1,1,Add to existing course,85,Medium
Troubleshooting,Sangli,Critical Shortage,High,86.0,5.0,81.0,1,1,Add to existing course,74,Medium
Docker,Nashik,Critical Shortage,High,79.0,2.0,77.0,1,1,Add to existing course,70,Medium
Safety Standards,Beed,Critical Shortage,High,122.0,46.0,76.0,1,1,Add to existing course,77,High
Customer Service,Osmanabad,Critical Shortage,High,84.0,9.0,75.0,1,1,Add to existing course,70,Medium
Inventory Management,Jalna,Critical Shortage,High,108.0,34.0,74.0,1,1,Add to existing course,77,Medium
Inventory Management,Osmanabad,Critical Shortage,High,127.0,55.0,72.0,1,1,Add to existing course,77,High
Excel,Pune,Critical Shortage,High,117.0,46.0,71.0,1,1,Add to existing course,77,High
Inventory Management,Aurangabad,Critical Shortage,High,137.0,69.0,68.0,1,1,Add to existing course,77,High
Python,Pune,Critical Shortage,High,113.0,46.0,67.0,1,1,Add to existing course,80,High
SEO,Dhule,Critical Shortage,High,94.0,27.0,67.0,1,1,Add to existing course,82,High
